arm,run,report,duration_ms,packets,lost_packets,lost_packets_in_resyncs,loss_per_min,forward_gap_events,packets_per_gap_event,max_forward_gap_packets,late_or_reordered_packets,discontinuities,sequence_resyncs,ssrc_changes,largest_resync_jump_packets,idr_aus_rejected,non_idr_aus_dropped,packets_dropped_waiting_for_idr,resync_to_idr_ms,max_resync_to_idr_ms,first_clean_idr_ms,sequence_gap_au_drops,fec_unrecoverable_groups,max_output_gap_ms,spike_20_ms,spike_20_per_min,stale_output_drops_per_min,rendered_fps,audio_lost_packets,audio_underruns
PC,A60,native_decoder_20260920_224005_823.json,96849,79853,0,0,0.0,0,,0,0,0,0,0,0,,,0,0,0,634,0,0,268,109,67.53,3.72,59.732,1,222
PC,B60,native_decoder_20260920_224847_830.json,96917,80012,6,0,3.71,2,3.0,3,0,0,0,0,0,,,0,0,0,597,2,1,174,101,62.53,10.52,59.587,3,225
PC,C60,native_decoder_20260920_225631_151.json,96953,79931,2,0,1.24,1,2.0,2,0,0,0,0,0,,,0,0,0,576,1,1,147,113,69.93,9.28,59.647,10,254
PC,Q1,native_decoder_20260921_002807_069.json,128963,106780,19,0,8.84,5,3.8,6,0,0,0,0,0,,,0,0,0,735,5,5,296,202,93.98,8.37,59.661,29,0
PC,Q2,native_decoder_20260921_003036_459.json,125854,105005,134,0,63.88,11,12.18,31,0,0,0,0,0,,,0,0,0,620,11,3,191,209,99.64,6.67,59.49,5,6
PC,Q3,native_decoder_20260921_003301_452.json,130939,107572,451,0,206.66,28,16.11,58,0,0,0,0,0,,,0,0,0,665,28,1,259,548,251.11,7.33,59.127,4,21
PC,Q4,native_decoder_20260921_003639_832.json,132990,109680,397,0,179.11,22,18.05,49,0,0,0,0,0,,,0,0,0,705,22,4,175,311,140.31,2.71,59.26,15,3
PC,Q5,native_decoder_20260921_003917_220.json,130977,108804,241,0,110.4,18,13.39,38,0,0,0,0,0,,,0,0,0,637,18,5,292,338,154.84,5.04,59.384,13,20
PC,R1,native_decoder_20260921_010028_882.json,158144,131311,122,0,46.29,12,10.17,27,0,0,0,0,0,0,0,0,0,0,577,12,2,331,222,84.23,6.83,59.617,9,12
PC,R2,native_decoder_20260921_010755_679.json,158206,130925,51,0,19.34,7,7.29,26,0,0,0,0,0,0,0,0,0,0,577,7,1,321,230,87.23,5.69,59.606,12,13
PC,R3,native_decoder_20260921_011115_368.json,158470,131228,228,0,86.33,14,16.29,47,0,0,0,0,0,0,0,0,0,0,607,14,3,357,230,87.08,6.82,59.595,15,5
Opal,O1,native_decoder_20260921_154602_399.json,126850,103415,40,0,18.92,7,5.71,22,0,0,0,0,0,0,0,0,0,0,595,7,6,143,102,48.25,5.68,59.708,27,2
Opal,O2,native_decoder_20260921_154842_598.json,127805,104203,15,0,7.04,3,5.0,8,0,0,0,0,0,0,0,0,0,0,579,3,3,153,99,46.48,7.04,59.685,14,2
Opal,O3,native_decoder_20260921_155105_249.json,126869,103900,15,0,7.09,7,2.14,3,0,0,0,0,0,0,0,0,0,0,573,7,5,193,115,54.39,5.2,59.66,14,2
Opal,O4,native_decoder_20260921_155335_582.json,126858,103415,51,0,24.12,13,3.92,11,0,0,0,0,0,0,0,0,0,0,613,13,8,139,101,47.77,7.09,59.626,12,1
Opal,O5,native_decoder_20260921_155558_192.json,126844,103918,49,0,23.18,6,8.17,32,0,0,0,0,0,0,0,0,0,0,586,6,5,231,98,46.36,8.04,59.656,9,3
Opal,O6,native_decoder_20260921_155827_225.json,126853,103559,30,0,14.19,10,3.0,8,0,0,0,0,0,0,0,0,0,0,588,9,8,153,106,50.14,7.09,59.675,5,1
Opal,PULSE,native_decoder_20260921_160049_780.json,126884,102989,740,690,349.93,10,5.0,15,0,1,1,0,690,0,13,109,60,60,555,10,7,3048,246,116.33,12.77,58.778,4,1
