20:10:19.140 211727 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:10:59.079 212187 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:11:39.027 212647 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:12:09.114 212991 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:12:39.202 213339 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:12:49.064 213453 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:13:19.160 213800 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:13:29.018 213915 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:13:59.118 214266 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:14:29.202 214613 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:14:39.062 214730 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:15:09.127 215081 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:15:39.173 215434 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:15:49.014 215552 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:16:19.045 215891 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:16:49.074 216241 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:17:19.105 216592 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:17:49.131 216939 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:18:19.166 217284 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:18:49.200 217633 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:18:59.039 217747 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:19:29.076 218095 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
20:19:59.118 218438 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
# polls 1156
