slot,arm,report,duration_ms,prolonged_starvation_events,underruns,concealed_underruns,avg_queue_residence_ms,max_queue_residence_ms,startup_wait_ms,startup_wait_timed_out,first_write_elapsed_ms,audio_lost_packets,video_lost_per_min,rendered_fps,received_au_fps,max_output_gap_ms,discontinuities
slot1,off,native_decoder_20260921_023336_818.json,123834,125,363,1499,27.7,47,0,true,2083,13,12.6,59.48,59.78,1076,0
slot2,on,native_decoder_20260921_023603_355.json,123848,143,19,1036,27.62,53,2157,false,2210,13,1.9,59.55,59.86,763,0
slot3,off,native_decoder_20260921_023830_570.json,123813,153,276,1390,27.8,49,0,true,2024,23,8.2,59.53,59.84,878,0
slot4,on,native_decoder_20260921_024056_592.json,123836,154,105,1224,27.59,49,2066,false,2125,14,6.3,59.56,59.84,832,0
slot5,off,native_decoder_20260921_024322_964.json,124118,151,241,1445,27.29,52,0,true,2334,10,18.9,59.42,59.61,526,0
slot6,on,native_decoder_20260921_024550_932.json,124693,138,98,1127,27.43,49,2199,false,2254,27,8.7,59.65,59.8,441,0
slot7,off,native_decoder_20260921_024818_140.json,123888,157,299,1365,27.37,85,0,true,2085,19,23.7,59.59,59.8,228,0
slot8,on,native_decoder_20260921_025044_210.json,123764,139,7,850,28.21,93,2050,false,2131,9,2.9,59.65,59.86,269,0
slot9,off,native_decoder_20260921_025310_408.json,123832,139,245,1195,28.08,49,0,true,2106,18,7.8,59.65,59.8,157,0
slot10,on,native_decoder_20260921_025536_839.json,123833,140,7,981,27.69,49,2161,false,2226,8,10.2,59.53,59.78,210,0
