===== L20: 597 heartbeat ticks over 1200 s =====
receive rate packets/s: median 821  min 678  max 982
  p05 738   p95 890

ticks below 90% of median rate: 30 of 597 (5.0 %)
  utc          pkt/s  vs med  rssi    tx    rx out_age_ms
  18:40:45       678    -17%   -66   260   175         13
  18:46:27       678    -17%   -65   195   117          2
  18:52:47       688    -16%   -66   260   117          8
  18:46:57       695    -15%   -66   260   117         18
  18:50:48       697    -15%   -66   195   117          4
  18:37:08       697    -15%   -66   260   117         14
  18:42:38       706    -14%   -66   260   117         30
  18:49:32       708    -14%   -66   195   117          3
  18:45:05       711    -13%   -65   260   234          1
  18:48:03       714    -13%   -66   195   117          6
  18:42:32       717    -13%   -66   260   117          7
  18:52:00       720    -12%   -66   260   234         41
  18:55:39       722    -12%   -66   260   117          4
  18:44:14       724    -12%   -65   260   234          1
  18:44:26       725    -12%   -65   260   117          1
  18:50:24       727    -12%   -66   195   117         14
  18:45:15       727    -12%   -65   260   117          5
  18:37:42       727    -11%   -65   260   117          7
  18:40:05       729    -11%   -65   260   234          5
  18:37:53       731    -11%   -65   260   234          6

===== Spearman at heartbeat resolution (n up to 597) =====
  receive rate vs rssi               rho=-0.022 n=597
  receive rate vs txLinkSpeed        rho=-0.001 n=597
  receive rate vs rxLinkSpeed        rho=-0.001 n=597

===== per-minute receive rate, whole session =====
   min  pkt/s med     min  dips  rssi med  tx med
     0        829     761     0       -66     260
     1        816     697     4       -66     260
     2        820     750     0       -66     260
     3        830     777     0       -66     260
     4        826     678     2       -66     260
     5        802     745     0       -66     260
     6        820     706     2       -66     260
     7        815     753     0       -66     260
     8        822     724     2       -66     260
     9        828     711     2       -66     195
    10        818     678     3       -66     195
    11        817     731     1       -66     195
    12        821     714     3       -66     195
    13        819     708     1       -66     195
    14        816     697     4       -66     195
    15        830     801     0       -66     247
    16        819     688     3       -66     260
    17        817     735     1       -66     260
    18        827     731     1       -65     260
    19        817     722     1       -66     260
