arm       samples  encoder cpu_pct    retroarch cpu_pct  amdgpu power W  
SMOKE_BASE       2  26.4 (26.2-26.5)   23.2 (18.5-28.0)   15.0 (12.0-18.0)
SMOKE_MFS       2  26.2 (25.9-26.6)   23.3 (18.3-28.3)   18.0 (18.0-18.0)
SMOKE_VBV       2  26.6 (26.5-26.6)   22.5 (16.9-28.2)   17.0 (16.0-18.0)
A0             40  26.6 (26.1-27.3)   32.9 (18.5-39.2)   18.0 (12.0-23.0)
A1             40  26.8 (26.1-27.5)   33.2 (18.0-39.4)   17.0 (11.0-23.0)
A2             40  26.7 (26.1-27.1)   33.3 (18.6-39.1)   17.5 (13.0-21.0)
B1             40  26.8 (26.4-27.5)   33.0 (18.4-38.9)   20.0 (11.0-21.0)
A0prime        40  26.8 (26.2-27.3)   33.0 (18.4-39.1)   19.0 (12.0-25.0)
A1r2           40  26.8 (26.1-27.5)   32.8 (17.6-39.1)   19.5 (12.0-21.0)
A0r2           40  26.9 (26.2-27.3)   33.1 (18.5-39.1)   19.5 (12.0-24.0)
