
========================================================================
Starting PrivyHub Linux native-video backend v0.7
Profile: native_game_720p60_reference 1280x720@60, 7000/7000 kbps H.264 VAAPI, GOP=15, BF=0
Capture backend: exact X11 window via x11grab
Capture: managed RetroArch window (pid=10951, window_id=60817410, discovered=879x720)
Window title: RetroArch Beetle PSX HW 0.9.44.1 82d8e05
Video FEC: XOR 8+1; FFmpeg RTP -> loopback relay -> onn; encoder=7000 kbps
========================================================================
encoder argv: /usr/bin/ffmpeg -hide_banner -loglevel info -nostdin -vaapi_device /dev/dri/renderD128 -f x11grab -framerate 60 -window_id 60817410 -i :0 -vf scale=1280:720:force_original_aspect_ratio=decrease:flags=fast_bilinear,pad=1280:720:(ow-iw)/2:(oh-ih)/2:black,format=nv12,hwupload -an -c:v h264_vaapi -profile:v high -b:v 7000k -maxrate 7000k -bufsize 7000k -max_frame_size 90000 -g 15 -bf 0 -payload_type 96 -f rtp rtp://127.0.0.1:48110?pkt_size=1200
[x11grab @ 0x5587271d2d00] Stream #0: not enough frames to estimate rate; consider increasing probesize
Input #0, x11grab, from ':0':
  Duration: N/A, start: 1790118017.082950, bitrate: 1215129 kb/s
  Stream #0:0: Video: rawvideo (BGR[0] / 0x524742), bgr0, 879x720, 1215129 kb/s, 60 fps, 1000k tbr, 1000k tbn
Stream mapping:
  Stream #0:0 -> #0:0 (rawvideo (native) -> h264 (h264_vaapi))
Output #0, rtp, to 'rtp://127.0.0.1:48110?pkt_size=1200':
  Metadata:
    encoder         : Lavf61.7.103
  Stream #0:0: Video: h264 (High), vaapi(tv, progressive), 1280x720, q=2-31, 7000 kb/s, 60 fps, 90k tbn
      Metadata:
        encoder         : Lavc61.19.101 h264_vaapi
SDP:
v=0
o=- 0 0 IN IP4 127.0.0.1
s=No Name
c=IN IP4 127.0.0.1
t=0 0
a=tool:libavformat 61.7.103
m=video 48110 RTP/AVP 96
b=AS:7000
a=rtpmap:96 H264/90000
a=fmtp:96 packetization-mode=1

frame=   31 fps=0.0 q=-0.0 size=     217KiB time=00:00:00.51 bitrate=3442.2kbits/s speed=1.03x    
frame=   61 fps= 61 q=-0.0 size=     650KiB time=00:00:01.01 bitrate=5238.9kbits/s speed=1.02x    
frame=   91 fps= 61 q=-0.0 size=    1083KiB time=00:00:01.51 bitrate=5850.9kbits/s speed=1.01x    
frame=  121 fps= 60 q=-0.0 size=    1516KiB time=00:00:02.01 bitrate=6159.3kbits/s speed=1.01x    
frame=  151 fps= 60 q=-0.0 size=    1949KiB time=00:00:02.51 bitrate=6345.2kbits/s speed=1.01x    
frame=  181 fps= 60 q=-0.0 size=    2382KiB time=00:00:03.01 bitrate=6469.7kbits/s speed=1.01x    
frame=  211 fps= 60 q=-0.0 size=    2816KiB time=00:00:03.51 bitrate=6558.8kbits/s speed=   1x    
frame=  241 fps= 60 q=-0.0 size=    3249KiB time=00:00:04.01 bitrate=6625.8kbits/s speed=   1x    
frame=  271 fps= 60 q=-0.0 size=    3682KiB time=00:00:04.51 bitrate=6677.6kbits/s speed=   1x    
frame=  301 fps= 60 q=-0.0 size=    4115KiB time=00:00:05.01 bitrate=6719.2kbits/s speed=   1x    
frame=  331 fps= 60 q=-0.0 size=    4548KiB time=00:00:05.51 bitrate=6753.4kbits/s speed=   1x    
frame=  361 fps= 60 q=-0.0 size=    4981KiB time=00:00:06.01 bitrate=6781.8kbits/s speed=   1x    
frame=  391 fps= 60 q=-0.0 size=    5414KiB time=00:00:06.51 bitrate=6806.0kbits/s speed=   1x    
frame=  421 fps= 60 q=-0.0 size=    5854KiB time=00:00:07.01 bitrate=6834.9kbits/s speed=   1x    
frame=  451 fps= 60 q=-0.0 size=    6280KiB time=00:00:07.51 bitrate=6844.5kbits/s speed=   1x    
frame=  481 fps= 60 q=-0.0 size=    6720KiB time=00:00:08.01 bitrate=6867.4kbits/s speed=   1x    
frame=  511 fps= 60 q=-0.0 size=    7146KiB time=00:00:08.51 bitrate=6874.0kbits/s speed=   1x    
frame=  541 fps= 60 q=-0.0 size=    7579KiB time=00:00:09.01 bitrate=6886.3kbits/s speed=   1x    
frame=  571 fps= 60 q=-0.0 size=    8013KiB time=00:00:09.51 bitrate=6897.2kbits/s speed=   1x    
frame=  601 fps= 60 q=-0.0 size=    8446KiB time=00:00:10.01 bitrate=6907.0kbits/s speed=   1x    
frame=  631 fps= 60 q=-0.0 size=    8879KiB time=00:00:10.51 bitrate=6916.1kbits/s speed=   1x    
frame=  661 fps= 60 q=-0.0 size=    9312KiB time=00:00:11.01 bitrate=6924.3kbits/s speed=   1x    
frame=  691 fps= 60 q=-0.0 size=    9745KiB time=00:00:11.51 bitrate=6931.8kbits/s speed=   1x    
frame=  721 fps= 60 q=-0.0 size=   10178KiB time=00:00:12.01 bitrate=6938.7kbits/s speed=   1x    
frame=  751 fps= 60 q=-0.0 size=   10611KiB time=00:00:12.51 bitrate=6945.0kbits/s speed=   1x    
frame=  781 fps= 60 q=-0.0 size=   11044KiB time=00:00:13.01 bitrate=6950.8kbits/s speed=   1x    
frame=  811 fps= 60 q=-0.0 size=   11478KiB time=00:00:13.51 bitrate=6956.2kbits/s speed=   1x    
frame=  841 fps= 60 q=-0.0 size=   11911KiB time=00:00:14.01 bitrate=6961.2kbits/s speed=   1x    
frame=  871 fps= 60 q=-0.0 size=   12344KiB time=00:00:14.51 bitrate=6965.9kbits/s speed=   1x    
frame=  901 fps= 60 q=-0.0 size=   12777KiB time=00:00:15.01 bitrate=6970.3kbits/s speed=   1x    
frame=  931 fps= 60 q=-0.0 size=   13210KiB time=00:00:15.51 bitrate=6974.3kbits/s speed=   1x    
frame=  961 fps= 60 q=-0.0 size=   13643KiB time=00:00:16.01 bitrate=6978.2kbits/s speed=   1x    
frame=  991 fps= 60 q=-0.0 size=   14077KiB time=00:00:16.51 bitrate=6981.8kbits/s speed=   1x    
frame= 1021 fps= 60 q=-0.0 size=   14510KiB time=00:00:17.01 bitrate=6985.1kbits/s speed=   1x    
frame= 1051 fps= 60 q=-0.0 size=   14943KiB time=00:00:17.51 bitrate=6988.3kbits/s speed=   1x    
frame= 1081 fps= 60 q=-0.0 size=   15376KiB time=00:00:18.01 bitrate=6991.3kbits/s speed=   1x    
frame= 1111 fps= 60 q=-0.0 size=   15809KiB time=00:00:18.51 bitrate=6994.2kbits/s speed=   1x    
frame= 1141 fps= 60 q=-0.0 size=   16242KiB time=00:00:19.01 bitrate=6996.9kbits/s speed=   1x    
frame= 1171 fps= 60 q=-0.0 size=   16675KiB time=00:00:19.51 bitrate=6999.4kbits/s speed=   1x    
frame= 1201 fps= 60 q=-0.0 size=   17109KiB time=00:00:20.01 bitrate=7001.8kbits/s speed=   1x    
frame= 1231 fps= 60 q=-0.0 size=   17542KiB time=00:00:20.51 bitrate=7004.2kbits/s speed=   1x    
frame= 1261 fps= 60 q=-0.0 size=   17975KiB time=00:00:21.01 bitrate=7006.4kbits/s speed=   1x    
frame= 1291 fps= 60 q=-0.0 size=   18408KiB time=00:00:21.51 bitrate=7008.4kbits/s speed=   1x    
frame= 1321 fps= 60 q=-0.0 size=   18841KiB time=00:00:22.01 bitrate=7010.4kbits/s speed=   1x    
frame= 1351 fps= 60 q=-0.0 size=   19274KiB time=00:00:22.51 bitrate=7012.3kbits/s speed=   1x    
frame= 1381 fps= 60 q=-0.0 size=   19707KiB time=00:00:23.01 bitrate=7014.1kbits/s speed=   1x    
frame= 1411 fps= 60 q=-0.0 size=   20140KiB time=00:00:23.51 bitrate=7015.8kbits/s speed=   1x    
frame= 1441 fps= 60 q=-0.0 size=   20573KiB time=00:00:24.01 bitrate=7017.5kbits/s speed=   1x    
frame= 1471 fps= 60 q=-0.0 size=   21006KiB time=00:00:24.51 bitrate=7019.0kbits/s speed=   1x    
frame= 1501 fps= 60 q=-0.0 size=   21439KiB time=00:00:25.01 bitrate=7020.6kbits/s speed=   1x    
frame= 1531 fps= 60 q=-0.0 size=   21872KiB time=00:00:25.51 bitrate=7022.0kbits/s speed=   1x    
frame= 1561 fps= 60 q=-0.0 size=   22394KiB time=00:00:26.01 bitrate=7051.3kbits/s speed=   1x    
frame= 1591 fps= 60 q=-0.0 size=   22829KiB time=00:00:26.51 bitrate=7052.8kbits/s speed=   1x    
frame= 1621 fps= 60 q=-0.0 size=   23272KiB time=00:00:27.01 bitrate=7056.4kbits/s speed=   1x    
frame= 1651 fps= 60 q=-0.0 size=   23748KiB time=00:00:27.51 bitrate=7069.9kbits/s speed=   1x    
frame= 1681 fps= 60 q=-0.0 size=   24189KiB time=00:00:28.01 bitrate=7072.7kbits/s speed=   1x    
frame= 1711 fps= 60 q=-0.0 size=   24644KiB time=00:00:28.51 bitrate=7079.6kbits/s speed=   1x    
frame= 1741 fps= 60 q=-0.0 size=   25082KiB time=00:00:29.01 bitrate=7081.2kbits/s speed=   1x    
frame= 1771 fps= 60 q=-0.0 size=   25497KiB time=00:00:29.51 bitrate=7076.4kbits/s speed=   1x    
frame= 1801 fps= 60 q=-0.0 size=   25930KiB time=00:00:30.01 bitrate=7076.6kbits/s speed=   1x    
frame= 1831 fps= 60 q=-0.0 size=   26368KiB time=00:00:30.51 bitrate=7078.2kbits/s speed=   1x    
frame= 1861 fps= 60 q=-0.0 size=   26809KiB time=00:00:31.01 bitrate=7080.6kbits/s speed=   1x    
frame= 1891 fps= 60 q=-0.0 size=   27246KiB time=00:00:31.51 bitrate=7081.9kbits/s speed=   1x    
frame= 1921 fps= 60 q=-0.0 size=   27676KiB time=00:00:32.01 bitrate=7081.3kbits/s speed=   1x    
frame= 1951 fps= 60 q=-0.0 size=   28106KiB time=00:00:32.51 bitrate=7080.7kbits/s speed=   1x    
frame= 1981 fps= 60 q=-0.0 size=   28540KiB time=00:00:33.01 bitrate=7081.4kbits/s speed=   1x    
frame= 2011 fps= 60 q=-0.0 size=   28967KiB time=00:00:33.51 bitrate=7080.0kbits/s speed=   1x    
frame= 2041 fps= 60 q=-0.0 size=   29414KiB time=00:00:34.01 bitrate=7083.5kbits/s speed=   1x    
frame= 2071 fps= 60 q=-0.0 size=   29836KiB time=00:00:34.51 bitrate=7081.1kbits/s speed=   1x    
frame= 2101 fps= 60 q=-0.0 size=   30278KiB time=00:00:35.01 bitrate=7083.5kbits/s speed=   1x    
frame= 2131 fps= 60 q=-0.0 size=   30711KiB time=00:00:35.51 bitrate=7083.6kbits/s speed=   1x    
frame= 2161 fps= 60 q=-0.0 size=   31127KiB time=00:00:36.01 bitrate=7079.9kbits/s speed=   1x    
frame= 2191 fps= 60 q=-0.0 size=   31573KiB time=00:00:36.51 bitrate=7082.9kbits/s speed=   1x    
frame= 2221 fps= 60 q=-0.0 size=   32009KiB time=00:00:37.01 bitrate=7083.7kbits/s speed=   1x    
frame= 2251 fps= 60 q=-0.0 size=   32438KiB time=00:00:37.51 bitrate=7083.1kbits/s speed=   1x    
frame= 2281 fps= 60 q=-0.0 size=   32880KiB time=00:00:38.01 bitrate=7085.2kbits/s speed=   1x    
frame= 2311 fps= 60 q=-0.0 size=   33308KiB time=00:00:38.51 bitrate=7084.1kbits/s speed=   1x    
frame= 2341 fps= 60 q=-0.0 size=   33739KiB time=00:00:39.01 bitrate=7083.9kbits/s speed=   1x    
frame= 2371 fps= 60 q=-0.0 size=   34176KiB time=00:00:39.51 bitrate=7084.8kbits/s speed=   1x    
frame= 2401 fps= 60 q=-0.0 size=   34602KiB time=00:00:40.01 bitrate=7083.5kbits/s speed=   1x    
frame= 2431 fps= 60 q=-0.0 size=   35037KiB time=00:00:40.51 bitrate=7084.1kbits/s speed=   1x    
frame= 2461 fps= 60 q=-0.0 size=   35467KiB time=00:00:41.01 bitrate=7083.6kbits/s speed=   1x    
frame= 2491 fps= 60 q=-0.0 size=   35927KiB time=00:00:41.51 bitrate=7089.0kbits/s speed=   1x    
frame= 2521 fps= 60 q=-0.0 size=   36337KiB time=00:00:42.01 bitrate=7084.7kbits/s speed=   1x    
frame= 2551 fps= 60 q=-0.0 size=   36769KiB time=00:00:42.51 bitrate=7084.5kbits/s speed=   1x    
frame= 2581 fps= 60 q=-0.0 size=   37181KiB time=00:00:43.01 bitrate=7080.7kbits/s speed=   1x    
frame= 2611 fps= 60 q=-0.0 size=   37613KiB time=00:00:43.51 bitrate=7080.6kbits/s speed=   1x    
frame= 2641 fps= 60 q=-0.0 size=   38038KiB time=00:00:44.01 bitrate=7079.4kbits/s speed=   1x    
frame= 2671 fps= 60 q=-0.0 size=   38499KiB time=00:00:44.51 bitrate=7084.5kbits/s speed=   1x    
frame= 2701 fps= 60 q=-0.0 size=   38912KiB time=00:00:45.01 bitrate=7081.1kbits/s speed=   1x    
frame= 2731 fps= 60 q=-0.0 size=   39378KiB time=00:00:45.51 bitrate=7087.2kbits/s speed=   1x    
frame= 2761 fps= 60 q=-0.0 size=   39787KiB time=00:00:46.01 bitrate=7082.9kbits/s speed=   1x    
frame= 2791 fps= 60 q=-0.0 size=   40252KiB time=00:00:46.51 bitrate=7088.8kbits/s speed=   1x    
frame= 2821 fps= 60 q=-0.0 size=   40672KiB time=00:00:47.01 bitrate=7086.5kbits/s speed=   1x    
frame= 2851 fps= 60 q=-0.0 size=   41107KiB time=00:00:47.51 bitrate=7087.0kbits/s speed=   1x    
frame= 2881 fps= 60 q=-0.0 size=   41538KiB time=00:00:48.01 bitrate=7086.8kbits/s speed=   1x    
