#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.7.103
#tb 0: 1/60
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 879x720
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  2531520, fc83a640ebef7331359bca1db695f303
0,          1,          1,        1,  2531520, b17cc1ab8a5e9b026860f96e31113b91
0,          2,          2,        1,  2531520, bfa4afff81962a140d5ef910d7b954f2
0,          3,          3,        1,  2531520, a5b3589e7d3af4c4feba1613ee47d90e
0,          4,          4,        1,  2531520, 22145f386d6be84a01077343449f22e4
0,          5,          5,        1,  2531520, eb895a5ff9991d49e6ceda058c61011a
0,          6,          6,        1,  2531520, 76a3ea3499dc9b0fcb1925493a0d9eef
0,          7,          7,        1,  2531520, b595f4973644092f69bc7e6fdc70acc8
0,          8,          8,        1,  2531520, 9a54120666beed8f636546a8f5e50034
0,          9,          9,        1,  2531520, bae448ee144a38fbf1d48d2333a26466
0,         10,         10,        1,  2531520, 331621d796230c66b1e599d51522f187
0,         11,         11,        1,  2531520, 830af9c34d447fd3895de0e6b46172e4
0,         12,         12,        1,  2531520, f87e3cbed705be83e2474d8da9a93998
0,         13,         13,        1,  2531520, 1cd12558665fc2fd0fb7bb76f8beecee
0,         14,         14,        1,  2531520, 334720125ace902fc392660c7b2e35af
0,         15,         15,        1,  2531520, d1c65f587177fa1c6da87605bd46763a
0,         16,         16,        1,  2531520, 4b764b9f56ca467b93304155e7211b3d
0,         17,         17,        1,  2531520, c77d13f1069545bb9578e13d01fd83c5
0,         18,         18,        1,  2531520, 6d63dbfd20c70365e41d2eb612e5f833
0,         19,         19,        1,  2531520, 77513b6d9349a49050ca31f65fa719cd
0,         20,         20,        1,  2531520, 9bd0e1f60e3a51b534e64d37d9649e9b
0,         21,         21,        1,  2531520, a2fca4b6dc89802b8c1e8589128f457c
0,         22,         22,        1,  2531520, cecac9de4422244f7be6034f1193b557
0,         23,         23,        1,  2531520, 0fa278e512ebb156e16f5c98f3e2b82c
0,         24,         24,        1,  2531520, 4f90ba2a8a56747c94a8232d2f9dc6a4
0,         25,         25,        1,  2531520, 3833ba91e5645d7ff29fd3fefb69fa28
0,         26,         26,        1,  2531520, 67f731cad7f13157798fa63563baf75a
0,         27,         27,        1,  2531520, 2bcc07763233880731f6bd15c3c47f01
0,         28,         28,        1,  2531520, e274bbdb15f5e80c3e5099ad135d55de
0,         29,         29,        1,  2531520, 71185c410577800d7b86540f5f0e79a2
0,         30,         30,        1,  2531520, 3e36c87657a024288eb8d6d16324d6dc
0,         31,         31,        1,  2531520, 05e3c87c2262b380888c8cad585a7822
0,         32,         32,        1,  2531520, c426bf1de000e17e14256ab2045d48f0
0,         33,         33,        1,  2531520, ac5d8f7d0d19ae14e624dc893fb24002
0,         34,         34,        1,  2531520, 54cb5c923f7e0d27002a41516ef87f09
0,         35,         35,        1,  2531520, 1e71eaf00dc60dcba7dcf91724be1ee4
0,         36,         36,        1,  2531520, 76b70497dbbcae6aa1f5457d23b7e201
0,         37,         37,        1,  2531520, 5f243c928058cff52cdde6323e403a83
0,         38,         38,        1,  2531520, 7b91862cb2cdd4bba2f2790c91762f81
0,         39,         39,        1,  2531520, 5746278e8a02cb8c90d60149aaa41c87
0,         40,         40,        1,  2531520, 8d84533552f5db1f567d476a29f85d3d
0,         41,         41,        1,  2531520, 70c22ccdb8399af53a7820a617d45f71
0,         42,         42,        1,  2531520, 281e17d5abb38bd37215b43fb91a1c91
0,         43,         43,        1,  2531520, bd29525db8526ce1f565fc1bf069217b
0,         44,         44,        1,  2531520, 4cc5d58db60d41c9b5bc75736c72320c
0,         45,         45,        1,  2531520, 27bc5c3bbcf599d000105121c2225992
0,         46,         46,        1,  2531520, 64208819805f665fdb740b810ba516bf
0,         47,         47,        1,  2531520, 89856d6f93a72bfdd9d6108d4b3070a2
0,         48,         48,        1,  2531520, e5c86885beef3d351a2cc55fbaadd8a9
0,         49,         49,        1,  2531520, c4f92470e65c2f33aa0c3331b7670289
0,         50,         50,        1,  2531520, 1c2a2fef12c8094971bc4ea5f966bf3e
0,         51,         51,        1,  2531520, 86e99d6ce1cdc4d41cba3bf470b77ea0
0,         52,         52,        1,  2531520, bc8131f7058c0e28473f929e1e290a40
0,         53,         53,        1,  2531520, 60cf9fb15ea120b6b1eaf2b25b200fd5
