#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.7.103
#tb 0: 1/60
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 879x720
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,          1,          1,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,          2,          2,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,          3,          3,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,          4,          4,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,          5,          5,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,          6,          6,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,          7,          7,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,          8,          8,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,          9,          9,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         10,         10,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         11,         11,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         12,         12,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         13,         13,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         14,         14,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         15,         15,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         16,         16,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         17,         17,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         18,         18,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         19,         19,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         20,         20,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         21,         21,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         22,         22,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         23,         23,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         24,         24,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
0,         25,         25,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         26,         26,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         27,         27,        1,  2531520, f052812bce2cd4b79479e0fce9132e74
0,         28,         28,        1,  2531520, 8a3ec4a8d34448d1ae6a4f8bd4666f94
