#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.7.103
#tb 0: 1/60
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 879x720
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  2531520, da8b0060bb530918b0b1eb30c6deaa2c
0,          1,          1,        1,  2531520, da8b0060bb530918b0b1eb30c6deaa2c
0,          2,          2,        1,  2531520, da8b0060bb530918b0b1eb30c6deaa2c
0,          3,          3,        1,  2531520, 88ee1078a740faf86145ecc07b89c6d7
0,          4,          4,        1,  2531520, 88ee1078a740faf86145ecc07b89c6d7
0,          5,          5,        1,  2531520, 88ee1078a740faf86145ecc07b89c6d7
0,          6,          6,        1,  2531520, 4904ffebe998bb0ca58382fe5f0fdf6b
0,          7,          7,        1,  2531520, 4904ffebe998bb0ca58382fe5f0fdf6b
0,          8,          8,        1,  2531520, 4904ffebe998bb0ca58382fe5f0fdf6b
0,          9,          9,        1,  2531520, 9e40cecc225723143414ef535c70c559
0,         10,         10,        1,  2531520, 9e40cecc225723143414ef535c70c559
0,         11,         11,        1,  2531520, 9e40cecc225723143414ef535c70c559
0,         12,         12,        1,  2531520, 9cfbdb6101ed87bbe99535915d72e0f8
0,         13,         13,        1,  2531520, 9cfbdb6101ed87bbe99535915d72e0f8
0,         14,         14,        1,  2531520, 9cfbdb6101ed87bbe99535915d72e0f8
0,         15,         15,        1,  2531520, 1b83e3d530de4524c5a2d7bc42cb9def
0,         16,         16,        1,  2531520, 1b83e3d530de4524c5a2d7bc42cb9def
0,         17,         17,        1,  2531520, 1b83e3d530de4524c5a2d7bc42cb9def
0,         18,         18,        1,  2531520, b194747da4833d5f6e179a764a8a78ca
0,         19,         19,        1,  2531520, b194747da4833d5f6e179a764a8a78ca
0,         20,         20,        1,  2531520, b194747da4833d5f6e179a764a8a78ca
0,         21,         21,        1,  2531520, 8faee513d93f5722aaca547f76359ae0
0,         22,         22,        1,  2531520, a98ce80ef07fba0e5c2ddd5b6576b148
0,         23,         23,        1,  2531520, afe961ea75d1d042e80c664d706deab4
0,         24,         24,        1,  2531520, 3ed76b2e5f3aca4c9ff1653171081ab8
0,         25,         25,        1,  2531520, 2a65bb816ef54b9e80e1e2cf611a3a22
0,         26,         26,        1,  2531520, 502348f4f05e3f983529eced23ea3131
0,         27,         27,        1,  2531520, 87d2093801518b62657ea5e8c87e48f1
0,         28,         28,        1,  2531520, eba82cb026956d97b932f243ee51dec4
0,         29,         29,        1,  2531520, dea95d67e82fda59a8aeb838bee57d2d
0,         30,         30,        1,  2531520, f01db8df0e8db323e230087799f75e9b
0,         31,         31,        1,  2531520, 5be760ae248ee4238a56f5643fb595ba
0,         32,         32,        1,  2531520, 4658b53bae02afa615d9db68dbe5a36d
0,         33,         33,        1,  2531520, d58a6c642488b9ec22f618e054263f3c
0,         34,         34,        1,  2531520, 620f23c6377cc8433c8e101c830e2670
