minute,cpu_temp_c,gpu_temp_c,gpu_power_w,load1,enc_cpu_pct,comp_cpu_pct,enc_rss_kb,comp_rss_kb,comp_threads,ra_rss_kb,hb_log_bytes,rec_log_bytes,archive_bytes,archive_files,recovery_state,restarts,fec_groups,fec_send_errors,fec_rtp_packets
0.0,44.125,40.0,22.0,0.3056640625,None,None,120108,43640,5,150004,914267,13994,0,0,ENDED,0,335,0,2238
0.5,50.375,42.0,21.0,0.66015625,27.1,22.9,120136,48268,6,158400,917732,14129,0,0,PLAYING,0,4052,0,27461
1.0,52.5,43.0,25.0,1.15185546875,26.6,22.7,120336,48268,6,168716,921475,14129,0,0,PLAYING,0,8037,0,51968
1.5,54.0,43.0,20.0,1.4599609375,27.4,22.6,120376,48268,6,179084,925217,14129,0,0,PLAYING,0,12092,0,76401
2.0,54.625,44.0,25.0,1.6484375,26.8,22.6,120528,48268,6,188552,928978,14129,0,0,PLAYING,0,16127,0,100957
2.5,56.75,45.0,24.0,2.40869140625,27.1,22.9,120576,48268,6,199116,932749,14129,0,0,PLAYING,0,20157,0,125308
3.0,56.0,45.0,23.0,2.0458984375,27.1,22.9,120576,48268,6,206540,936540,14129,0,0,PLAYING,0,24052,0,149962
3.5,57.25,47.0,25.0,2.81640625,26.6,23.1,120576,48268,6,217436,940350,14129,0,0,PLAYING,0,27913,0,174996
4.0,58.0,47.0,23.0,2.3505859375,27.3,23.2,120576,48268,6,227752,944169,14129,0,0,PLAYING,0,31768,0,199885
4.5,57.5,47.0,23.0,2.4453125,27.3,22.6,120576,48268,6,233448,947988,14129,0,0,PLAYING,0,35833,0,224205
5.01,56.875,46.0,24.0,2.0859375,26.8,23.1,120576,48268,6,239620,951808,14129,0,0,PLAYING,0,39751,0,248841
5.51,56.875,46.0,20.0,1.783203125,26.7,23.5,120576,48268,6,247108,955627,14129,0,0,PLAYING,0,43882,0,273264
6.01,57.875,47.0,20.0,2.453125,26.8,23.3,120576,48268,6,248128,959446,14129,0,0,PLAYING,0,47904,0,297575
6.51,57.875,47.0,24.0,2.078125,26.7,23.1,120576,48268,6,249408,963268,14129,0,0,PLAYING,0,51940,0,322215
7.01,56.75,47.0,24.0,2.12646484375,27.3,22.8,120584,48268,6,249768,967085,14129,0,0,PLAYING,0,55834,0,346929
7.51,56.625,47.0,20.0,1.755859375,26.9,22.6,120584,48268,6,249768,970904,14129,0,0,PLAYING,0,59835,0,371420
8.01,56.75,46.0,23.0,1.587890625,26.7,22.5,120584,48268,6,249768,974721,14129,0,0,PLAYING,0,63866,0,395917
8.51,57.0,47.0,24.0,1.9404296875,26.8,22.6,120584,48268,6,249984,978287,14129,0,0,PLAYING,0,67924,0,420316
9.01,58.125,47.0,23.0,2.037109375,26.6,22.6,120584,48268,6,249984,982108,14129,0,0,PLAYING,0,71912,0,444876
9.51,57.5,46.0,25.0,1.8349609375,27.2,22.8,120584,48268,6,249984,985928,14129,0,0,PLAYING,0,75787,0,469677
10.01,58.125,48.0,25.0,1.72802734375,27.1,23.1,120584,48268,6,249984,989742,14129,0,0,PLAYING,0,79620,0,494533
10.51,58.25,48.0,24.0,2.36181640625,27.0,23.4,120584,48268,6,250112,993559,14129,0,0,PLAYING,0,83554,0,519273
11.01,58.375,47.0,20.0,2.1591796875,26.6,23.9,120592,48268,6,257656,997378,14129,0,0,PLAYING,0,87553,0,543746
11.51,57.125,47.0,24.0,2.69384765625,26.7,23.1,120592,50004,6,257620,1001195,14129,0,0,PLAYING,0,91568,0,568287
12.01,58.0,47.0,24.0,2.18017578125,26.7,23.0,120592,50004,6,257976,1005013,14129,0,0,PLAYING,0,95664,0,592695
12.51,58.375,47.0,22.0,1.9033203125,27.0,23.1,120592,50004,6,259064,1008834,14129,0,0,PLAYING,0,99734,0,616792
13.01,57.0,46.0,25.0,2.16552734375,26.4,22.6,120592,50004,6,259040,1012653,14129,0,0,PLAYING,0,103626,0,641735
13.51,56.75,48.0,24.0,1.97802734375,26.7,22.5,120592,50004,6,259040,1016472,14129,0,0,PLAYING,0,107613,0,666105
14.01,57.0,47.0,21.0,2.89208984375,27.1,22.5,120592,50004,6,259040,1020289,14129,0,0,PLAYING,0,111698,0,690716
14.51,57.125,47.0,22.0,2.6376953125,26.8,22.4,120592,50004,6,259192,1024107,14129,0,0,PLAYING,0,115729,0,714996
15.01,57.5,47.0,25.0,2.462890625,27.1,22.9,120592,50004,6,261368,1027926,14129,0,0,PLAYING,0,119771,0,739454
15.52,58.375,48.0,24.0,2.13330078125,27.0,22.9,120592,50004,6,261720,1031743,14129,0,0,PLAYING,0,123587,0,764553
16.02,58.625,48.0,24.0,1.9033203125,27.2,23.1,120592,50004,6,262072,1035558,14129,0,0,PLAYING,0,127432,0,789346
16.52,58.375,48.0,24.0,1.88232421875,26.8,22.6,120592,50004,6,262072,1039374,14129,0,0,PLAYING,0,131492,0,813769
17.02,57.75,47.0,19.0,1.94140625,26.9,22.7,120592,50004,6,262004,1043207,14129,0,0,PLAYING,0,135423,0,838679
17.52,57.375,47.0,20.0,1.787109375,27.0,22.2,120592,50004,6,262072,1047039,14129,0,0,PLAYING,0,139592,0,862635
18.02,58.5,48.0,22.0,2.9638671875,26.8,22.8,120604,50004,6,262072,1050869,14129,0,0,PLAYING,0,143555,0,887244
18.52,58.5,48.0,24.0,2.4794921875,27.0,22.3,120604,50004,6,262072,1054702,14129,0,0,PLAYING,0,147668,0,911757
19.02,57.375,47.0,24.0,2.15771484375,26.9,22.3,120604,50004,6,262036,1058538,14129,0,0,PLAYING,0,151554,0,936592
19.52,57.375,47.0,29.0,2.59814453125,26.7,22.8,120604,50004,6,262048,1062369,14129,0,0,PLAYING,0,155547,0,961090
20.02,57.375,48.0,25.0,2.53759765625,27.1,22.7,120604,50004,6,262048,1065957,14129,0,0,PLAYING,0,159604,0,985492
20.52,56.875,47.0,25.0,2.330078125,26.5,22.3,120604,50004,6,262024,1069807,14129,0,0,PLAYING,0,163613,0,1010043
21.02,58.875,47.0,24.0,2.4658203125,26.9,23.2,120604,50004,6,262072,1073653,14129,0,0,PLAYING,0,167666,0,1034407
21.52,58.0,47.0,24.0,2.3916015625,26.9,23.0,120604,50004,6,262072,1077503,14129,0,0,PLAYING,0,171543,0,1059143
22.02,58.625,48.0,24.0,2.54248046875,27.3,23.4,120604,50004,6,262432,1081350,14129,0,0,PLAYING,0,175361,0,1083954
22.52,58.0,47.0,19.0,2.1435546875,26.9,23.7,120604,50004,6,265204,1085198,14129,0,0,PLAYING,0,179316,0,1108587
23.02,59.0,48.0,21.0,2.85302734375,26.8,23.6,120604,50004,6,265204,1089047,14129,0,0,PLAYING,0,183346,0,1133203
23.52,57.25,48.0,25.0,2.26220703125,26.2,23.4,120604,50004,6,265180,1092897,14129,0,0,PLAYING,0,187334,0,1157770
24.02,58.375,47.0,24.0,2.25,26.6,23.7,120604,50004,6,265204,1096742,14129,0,0,PLAYING,0,191436,0,1182071
24.52,57.625,47.0,20.0,2.130859375,26.9,23.3,120604,50004,6,265204,1100593,14129,0,0,PLAYING,0,195539,0,1206340
25.02,57.625,47.0,25.0,2.12060546875,26.6,23.6,120604,50004,6,265204,1104440,14129,0,0,PLAYING,0,199462,0,1230892
25.52,56.875,47.0,24.0,2.134765625,26.3,23.9,120604,50004,6,265180,1108287,14129,0,0,PLAYING,0,203391,0,1255900
26.03,56.875,47.0,24.0,1.8173828125,26.5,23.3,120604,50004,6,265180,1112134,14129,0,0,PLAYING,0,207395,0,1280208
