minute,ticks,fps,max_age_ms,stalls_gt_120ms,stalls_gt_1000ms,rx_packets
0,30,59.956,65,0,0,50105
1,30,59.859,69,0,0,100631
2,29,59.621,98,0,0,150059
3,30,59.933,45,0,0,201068
4,30,59.574,52,0,0,251818
5,30,59.263,119,0,0,302419
6,30,59.641,70,0,0,353317
7,30,59.932,70,0,0,403898
8,30,59.525,78,0,0,454432
9,29,59.558,135,1,0,503609
10,30,59.595,211,1,0,554301
11,30,59.739,75,0,0,604468
12,30,58.92,79,0,0,655665
13,30,59.93,35,0,0,706486
14,30,59.684,122,1,0,757708
15,30,59.953,72,0,0,808901
16,30,59.673,44,0,0,860059
17,30,59.419,47,0,0,911038
18,29,59.588,63,0,0,959972
19,30,59.897,80,0,0,1010945
20,30,59.502,46,0,0,1061687
21,30,59.736,55,0,0,1112661
22,30,59.524,58,0,0,1163490
23,30,59.534,89,0,0,1214370
24,30,59.499,79,0,0,1265187
25,30,59.932,53,0,0,1316551
26,30,59.509,55,0,0,1367670
27,29,59.819,35,0,0,1417429
28,30,59.015,203,1,0,1468409
29,30,59.812,105,0,0,1519502
30,3,60.025,23,0,0,1524707
