minute,cpu_temp_c,gpu_temp_c,gpu_power_w,load1,mem_avail_kb,ra_rss_kb,ra_anon_kb,ra_file_kb,ra_shmem_kb,ra_swap_kb,ra_vsize_kb,comp_rss_kb,comp_anon_kb,comp_threads,enc_rss_kb,enc_anon_kb,hb_log_bytes,rec_log_bytes,archive_files,recovery_state,restarts,fec_groups,fec_send_errors
0.0,40.625,36.0,20.0,0.779296875,7832556,151780,66448,83208,2124,0,2537984,40960,28560,5,120060,27476,1602015,14798,0,ENDED,0,333,0
0.5,46.25,37.0,20.0,1.26708984375,7843700,156844,67256,87432,2156,0,2538764,45492,33092,6,120088,27504,1605482,14933,0,PLAYING,0,3987,0
1.0,48.75,39.0,24.0,1.53076171875,7846584,167244,67256,97800,2188,0,2540812,45504,33104,6,120204,27620,1609227,14933,0,PLAYING,0,7938,0
1.5,49.875,40.0,20.0,1.5146484375,7845828,177556,67264,108104,2188,0,2540812,45508,33108,6,120336,27752,1612971,14933,0,PLAYING,0,11985,0
2.0,50.625,41.0,22.0,1.4150390625,7845300,187928,67268,118472,2188,0,2540812,45508,33108,6,120376,27792,1616727,14933,0,PLAYING,0,16018,0
2.5,53.125,43.0,25.0,1.43994140625,7887312,197608,67656,127740,2212,0,2541976,45512,33112,6,120512,27928,1620502,14933,0,PLAYING,0,20101,0
3.0,53.625,43.0,25.0,2.23876953125,7887188,205488,67668,135608,2212,0,2544024,45516,33116,6,120512,27928,1624286,14933,0,PLAYING,0,24046,0
3.5,54.875,45.0,21.0,2.33056640625,7900520,215208,67728,145268,2212,0,2555092,45520,33120,6,120512,27928,1628096,14933,0,PLAYING,0,27834,0
4.0,55.0,45.0,24.0,2.65576171875,7892828,225580,67732,155636,2212,0,2555092,45520,33120,6,120512,27928,1631912,14933,0,PLAYING,0,31666,0
4.5,55.375,45.0,24.0,2.15625,7911824,231280,67740,161328,2212,0,2541976,45524,33124,6,120532,27948,1635730,14933,0,PLAYING,0,35723,0
5.01,55.875,45.0,24.0,2.08203125,7911632,239244,67768,169264,2212,0,2544024,45524,33124,6,120532,27948,1639550,14933,0,PLAYING,0,39674,0
5.51,55.375,44.0,20.0,2.93603515625,7906504,246140,67768,176176,2196,0,2540752,45536,33136,6,120532,27948,1643367,14933,0,PLAYING,0,43711,0
6.01,56.0,45.0,23.0,2.63623046875,7919832,247752,67768,177772,2212,0,2538328,45536,33136,6,120532,27948,1647182,14933,0,PLAYING,0,47757,0
6.51,56.25,46.0,24.0,2.47705078125,7916788,249032,67768,179052,2212,0,2540756,45544,33144,6,120536,27952,1651002,14933,0,PLAYING,0,51874,0
7.01,55.0,45.0,21.0,2.02685546875,7916036,250092,68472,179436,2184,0,2537420,45548,33148,6,120548,27964,1654821,14933,0,PLAYING,0,55754,0
7.51,55.0,45.0,23.0,1.9609375,7911552,250096,68472,179436,2188,0,2539468,45552,33152,6,120548,27964,1658642,14933,0,PLAYING,0,59743,0
8.01,55.125,45.0,20.0,2.58203125,7912344,250096,68472,179436,2188,0,2539468,45552,33152,6,120548,27964,1662456,14933,0,PLAYING,0,63781,0
8.51,55.25,46.0,22.0,2.5361328125,7911912,250092,68472,179436,2184,0,2541456,45556,33156,6,120548,27964,1666017,14933,0,PLAYING,0,67788,0
