minute,ticks,fps,max_age_ms,stalls_gt_120ms,stalls_gt_1000ms,rx_packets
0,30,59.851,52,0,0,50195
1,30,59.928,49,0,0,101191
2,29,57.301,277,1,0,150143
3,30,59.659,56,0,0,201195
4,30,57.66,125,1,0,252138
5,30,59.616,54,0,0,302405
6,30,59.752,63,0,0,353812
7,30,59.806,57,0,0,404918
8,30,59.52,46,0,0,455444
9,29,59.681,80,0,0,504971
10,30,59.374,161,1,0,556073
11,30,59.155,164,1,0,607177
12,30,58.688,74,0,0,658294
13,30,59.965,35,0,0,709213
14,30,59.64,87,0,0,760052
15,30,59.953,49,0,0,810854
16,30,59.614,44,0,0,860716
17,30,59.621,67,0,0,910808
18,29,59.506,53,0,0,958894
19,30,59.861,33,0,0,1009176
20,30,59.732,71,0,0,1058552
21,30,59.871,53,0,0,1109033
22,30,59.728,55,0,0,1158874
23,30,59.571,51,0,0,1208321
24,30,59.573,79,0,0,1258407
25,30,59.931,49,0,0,1308761
26,30,59.856,63,0,0,1359020
27,29,59.929,77,0,0,1407885
28,30,59.704,58,0,0,1458307
29,30,59.782,61,0,0,1508733
30,30,59.492,67,0,0,1559341
31,30,59.845,52,0,0,1610018
32,30,59.906,242,1,0,1659964
33,30,59.472,49,0,0,1710299
34,30,59.908,68,0,0,1760891
35,30,59.864,38,0,0,1811155
36,30,59.317,54,0,0,1861235
37,29,59.898,66,0,0,1909798
38,30,59.993,58,0,0,1959514
39,30,59.575,74,0,0,2010034
40,30,59.974,50,0,0,2060568
41,30,59.851,52,0,0,2111214
42,30,59.294,81,0,0,2161181
43,30,59.695,54,0,0,2211579
44,30,59.937,33,0,0,2261707
45,30,59.521,34,0,0,2311820
46,30,59.942,77,0,0,2363001
47,30,59.688,58,0,0,2413130
48,29,59.357,117,0,0,2461349
49,30,59.859,69,0,0,2511969
50,30,59.8,60,0,0,2562083
51,30,59.216,103,0,0,2612016
52,30,59.928,66,0,0,2662646
53,30,59.65,63,0,0,2713057
54,30,59.5,62,0,0,2763029
55,30,59.827,103,0,0,2813529
56,30,60.017,41,0,0,2863598
57,30,59.642,41,0,0,2913850
58,30,59.949,42,0,0,2964590
59,29,59.493,66,0,0,3013075
60,30,59.743,60,0,0,3063043
61,30,59.713,53,0,0,3113450
62,30,59.993,76,0,0,3163914
63,30,59.559,31,0,0,3214245
64,30,59.997,32,0,0,3264744
65,30,59.745,47,0,0,3315275
66,30,59.467,142,1,0,3364869
67,30,59.842,48,0,0,3415220
68,30,59.982,49,0,0,3465583
69,29,59.559,61,0,0,3513818
70,30,59.886,62,0,0,3564284
71,30,59.782,55,0,0,3614608
72,30,59.607,92,0,0,3664997
73,30,59.508,49,0,0,3715337
74,30,60.004,63,0,0,3765767
75,30,59.616,42,0,0,3815746
76,30,59.946,78,0,0,3866451
77,30,59.525,79,0,0,3916758
78,30,59.626,64,0,0,3966939
79,30,59.403,26,0,0,4017223
80,29,60.003,45,0,0,4066018
81,25,57.423,257,1,0,4107376
82,27,59.017,55,0,0,4164571
83,30,59.244,61,0,0,4215146
84,30,59.873,44,0,0,4265473
85,30,59.34,72,0,0,4315670
86,30,59.991,45,0,0,4366408
87,30,59.778,137,1,0,4416761
88,29,59.79,57,0,0,4465559
89,30,59.604,70,0,0,4516016
90,30,59.87,45,0,0,4566621
91,30,59.056,115,0,0,4616823
92,30,59.928,49,0,0,4667150
93,30,59.988,39,0,0,4717545
94,30,59.683,70,0,0,4768090
95,30,59.928,105,0,0,4818949
96,30,59.742,62,0,0,4869571
97,30,59.439,81,0,0,4919741
98,30,59.843,54,0,0,4970588
99,30,60.019,80,0,0,5020824
100,29,59.484,78,0,0,5069578
101,30,59.965,42,0,0,5120166
102,30,59.666,52,0,0,5170492
103,30,59.421,78,0,0,5220637
104,30,59.825,52,0,0,5271137
105,30,59.983,54,0,0,5321578
106,30,59.65,67,0,0,5371834
107,30,59.907,83,0,0,5422506
108,30,59.694,59,0,0,5473147
109,30,59.189,151,1,0,5523343
110,30,59.66,54,0,0,5573861
111,30,59.828,92,0,0,5624182
112,29,59.582,44,0,0,5673442
113,30,59.86,65,0,0,5724190
114,30,59.66,80,0,0,5774519
115,30,59.431,99,0,0,5824795
116,30,59.914,59,0,0,5875563
117,30,60.025,58,0,0,5925928
118,30,59.221,58,0,0,5976254
119,30,59.844,32,0,0,6026699
120,30,59.736,72,0,0,6077204
121,30,59.553,71,0,0,6127522
122,30,59.979,92,0,0,6178093
123,30,59.952,56,0,0,6228666
124,27,55.628,361,1,0,6278849
125,30,59.971,29,0,0,6329657
126,30,59.229,64,0,0,6380607
127,30,59.619,99,0,0,6430863
128,30,59.646,58,0,0,6481650
129,29,59.954,57,0,0,6530676
130,30,59.652,47,0,0,6580950
131,30,59.992,80,0,0,6631854
132,30,59.367,46,0,0,6682532
133,30,59.159,75,0,0,6733146
134,30,59.258,50,0,0,6783406
135,30,59.99,50,0,0,6833957
136,30,59.653,47,0,0,6884405
137,30,59.826,31,0,0,6935313
138,30,59.736,86,0,0,6986180
139,30,59.537,44,0,0,7036504
140,30,59.35,90,0,0,7086474
141,29,59.821,45,0,0,7135526
142,30,59.704,87,0,0,7185708
143,30,59.926,88,0,0,7236294
144,30,59.72,60,0,0,7286651
145,30,59.535,79,0,0,7337244
146,29,56.631,51,0,0,7386881
147,27,51.274,6640,1,1,7429357
148,30,59.262,69,0,0,7478723
149,24,48.71,293,2,0,7523024
150,27,52.944,31,0,0,7567570
151,26,59.161,48,0,0,7610324
153,28,53.516,75661,3,2,7654407
154,30,59.299,98,0,0,7703655
155,27,56.358,89,0,0,7752231
156,29,58.847,448,2,0,7803648
157,30,59.685,61,0,0,7855126
158,30,59.285,82,0,0,7906269
159,30,58.723,231,2,0,7957354
160,30,59.07,23,0,0,8008209
161,29,59.984,46,0,0,8057602
162,30,58.199,77,0,0,8107945
163,30,59.553,226,1,0,8160406
164,30,58.43,89,0,0,8210465
165,27,58.257,95,0,0,8261456
166,30,58.775,139,1,0,8311561
167,30,59.871,63,0,0,8362242
168,29,58.007,85,0,0,8409504
169,29,59.59,87,0,0,8463006
170,30,60.111,52,0,0,8514084
171,30,59.196,55,0,0,8564842
172,30,59.569,47,0,0,8615424
173,12,36.609,905,2,0,8656643
174,24,49.982,161,1,0,8698529
175,9,36.397,39,0,0,8739666
176,25,61.02,60,0,0,8798198
177,29,59.665,77,0,0,8847065
178,30,59.391,65,0,0,8898090
179,30,58.523,547,2,0,8948678
180,7,59.756,39,0,0,8961251
