16:07:27.013 122486 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:08:06.931 122945 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:08:37.004 123293 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:09:16.936 123747 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:09:47.022 124096 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:10:26.958 124552 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:10:57.036 124901 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:11:36.952 125355 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:12:06.998 125700 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:13:16.929 126505 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:13:46.974 126857 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:14:17.009 127204 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
16:15:26.931 128011 adb shell dumpsys thermalservice | grep -E 'Thermal Status|mValue'; echo @@T2SEP@@; dumpsys battery | grep -i temperature; echo @@T2SEP@@; cmd wifi status
