#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.7.103
#tb 0: 1/60
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 879x720
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  2531520, 3a5b4b8b5cc46a7c5dce812e09a55eba
0,          1,          1,        1,  2531520, 48041fe649ebbba6cd40d9b2468d71be
0,          2,          2,        1,  2531520, 6fbfa8681b83776709cb276bc78a65ce
0,          3,          3,        1,  2531520, e70e3c7647b35f5343c49b7bb5a64859
0,          4,          4,        1,  2531520, 5b47af89feb1a6b8f6a95a21d24eba3a
0,          5,          5,        1,  2531520, 9f20447943b4b8e444765fdc581fd62e
0,          6,          6,        1,  2531520, c7bdbd3216288fe8d31eb29cbf219a63
0,          7,          7,        1,  2531520, c5a394c131b2615340c7fbed02e0bd83
0,          8,          8,        1,  2531520, b8e10a857f3d7da2f3075ed9e7ffb97f
0,          9,          9,        1,  2531520, f1c6c052680731aed434c955ce525f3b
0,         10,         10,        1,  2531520, 8bd1788b587416e43e4ebe78df03a178
0,         11,         11,        1,  2531520, 9079d9868e72bc6f8ce0b307195c5e65
0,         12,         12,        1,  2531520, a895358389a4a39dfc77de5c2822e388
0,         13,         13,        1,  2531520, 209395c3faed123df804eb56e06db28d
0,         14,         14,        1,  2531520, 702edac172d08958c6ffe185f86a721e
0,         15,         15,        1,  2531520, 71104c97567592f6a7fc1c81c6095358
0,         16,         16,        1,  2531520, 27e2d33b9f6f376c4a30506334d1dd82
0,         17,         17,        1,  2531520, 8df2702e31c26e013d406cd8db9f6be3
0,         18,         18,        1,  2531520, 0f719806d176c3f04cea2cff353c4903
0,         19,         19,        1,  2531520, da52130959fcaf1db139ef2497beec5e
0,         20,         20,        1,  2531520, 6c8fd328cce84e1ba9342e9a684e9485
0,         21,         21,        1,  2531520, 9edebdca938c7265bf72bd1cc8a4dfe5
0,         22,         22,        1,  2531520, 51ac5685d960054d88249ce86890c378
0,         23,         23,        1,  2531520, 136392dd67c358d118f47ca5b25a0c9c
0,         24,         24,        1,  2531520, d125a5878a6692d60572051f35567cdf
0,         25,         25,        1,  2531520, 803298c9536ed0f78fdae7ffe70a804b
0,         26,         26,        1,  2531520, 8f6ab74497836b5c20a641c18c7a7c2f
0,         27,         27,        1,  2531520, 7fdb69b0a0d70706b1f733ca87846210
0,         28,         28,        1,  2531520, d7544b577a9ee0a1bd3e0605e568d43d
0,         29,         29,        1,  2531520, dffa06f1c0cef7a7cb0ea1f5a425c37b
0,         30,         30,        1,  2531520, 3d6d53a7ac55047ddb45357fb0add24c
0,         31,         31,        1,  2531520, 54e30ad45a750f87e7a7364e24dbe6e1
0,         32,         32,        1,  2531520, 04bc59c8020955ad684a5e146ca04f70
0,         33,         33,        1,  2531520, 09be019f0e124fadba0eb40297457a88
0,         34,         34,        1,  2531520, ee53e67c323290145ceb379b0ab177e9
0,         35,         35,        1,  2531520, efdfeb980d23179d0fd70707460f70d5
0,         36,         36,        1,  2531520, 9c403647d733594179741cae5f33fb37
0,         37,         37,        1,  2531520, 4a33064220cc5ca3e08dee7c6c21c997
0,         38,         38,        1,  2531520, 9f413145a36a58bda6454ecb8e9ce56e
0,         39,         39,        1,  2531520, bee139cbf3abf858d370c12127e8871c
0,         40,         40,        1,  2531520, 91504c357046206a1cb5aad94bf37207
0,         41,         41,        1,  2531520, ebe404374b1bf36aae8856ae1e1d815c
0,         42,         42,        1,  2531520, 4ec0481ef8b79b5fb65c5d41dd9f8401
0,         43,         43,        1,  2531520, 8f34eb4042477692da91b9697f27ad64
0,         44,         44,        1,  2531520, 7c2186f3242e386818f5a54df2dee6b8
0,         45,         45,        1,  2531520, a0035120bd3de757a119b86587fac73d
0,         46,         46,        1,  2531520, 52a80206ad8dc9cea3445b4555b3ff1b
0,         47,         47,        1,  2531520, 1d83682040c0c8af1ab2be7e7a70adba
0,         48,         48,        1,  2531520, 00ef45a7934f0e1bf8100a54b855c4af
0,         49,         49,        1,  2531520, 4e46aecd76c8b8b92d4e219a9b3dc819
0,         50,         50,        1,  2531520, a5a01010a16fa8b1dea1c203a93b58a3
0,         51,         51,        1,  2531520, 97be30f109d4536f133fd20f6dc95a14
0,         52,         52,        1,  2531520, d6c819106ad50ba795cd58e093094257
0,         53,         53,        1,  2531520, 4db485b29b5ac02e23ebcd961260c701
0,         54,         54,        1,  2531520, 096eeae802d6fa5d07096e29f1c0c2f0
0,         55,         55,        1,  2531520, ed1b561dc40eb3d0204bcef9fee8e03a
0,         56,         56,        1,  2531520, a73bdff885f75e629305730e2cfcc91a
0,         57,         57,        1,  2531520, 592f0b7f4e49df90acaec7959e619f46
0,         58,         58,        1,  2531520, 46d3cc5bfe6a48ab9c9713777c4a1d3e
0,         59,         59,        1,  2531520, 874642e5eff756c84668cee01256602a
